TF,t
NFIX,-5.562665400221864
NFKB1,6.020089389839124
NFKB2,-3.5207240663059447
NFX1,4.367236140120599
NFXL1,-3.2441509860744406
NFYA,-0.9608125743571836
NFYB,-0.23760955370128917
NFYC,0.10773825211139867
NHLH1,0.6925990238218084
NHLH2,-0.038836586750299884
NKX2-1,0.07187776962707189
NKX2-3,0.30543529933688246
NKX2-5,-0.1241823872025137
NKX2-8,1.2156803176006974
NKX3-1,-3.12643761017414
NKX3-2,-0.8402376413443793
NKX6-1,-0.564447150882058
NKX6-2,-0.6345868052869281
NME2,0.9519885976450915
NOBOX,-2.059039847733347
NOTO,1.5996970689385883
NPAS1,-0.4519381680913547
NPAS2,2.696020634210616
NPAS3,-3.133357493238369
NPAS4,0.29741520146738526
NR1D1,1.133261184863599
NR1D2,-1.8085788069507518
NR1H2,2.338458222792322
NR1H3,-0.24184220325290917
NR1H4,0.9135217109455779
NR1I2,1.0393675207659692
NR1I3,0.32110537465008354
NR2C1,3.76775644914998
NR2C2,-0.7062086598714208
NR2E1,0.24149698752389312
NR2E3,-1.34204763369339
NR2F1,-0.5801608644812087
NR2F6,-0.9758769171983838
NR3C1,-0.5642443061804518
NR3C2,-4.0731328201443064
NR4A1,1.3032207799286575
NR4A2,3.424512585051679
NR4A3,13.059599915674776
NR5A2,1.2436975291843606
NR6A1,-0.21363767447789114
NRF1,1.362032611994479
NRL,-3.1447730623569905
OLIG1,-0.91043799741321485
OLIG2,-0.889602613994543
OLIG3,-0.5827012730495745
ONECUT1,0.5635396001360018
ONECUT2,-0.644873411978169
ONECUT3,-1.2737479009844497
OSR1,-2.857643736027642
OSR2,-2.2940268834428936
OTX1,-0.40811019604305887
OTX2,2.1740181455824152
OVOL1,-0.478169973322669
OVOL2,-1.512306539086251
PATZ1,4.5705822547304065
PAX1,0.3159054555094119
PAX2,-0.05222330451377374
PAX3,0.4797770041032237
PAX4,-0.05004992554706426
PAX5,2.4112829527729107
PAX6,1.6854019954283723
PAX7,-0.7988585632597928
PAX9,0.8760085906242422
PBX1,-4.990879056057731
PBX2,1.44878908801159
PBX3,-0.45650230370546485
PBX4,0.20914888757903463
PCGF2,-1.4589185528917008
PDX1,-0.5395594722622775
PEG3,-2.726435810437478
PGR,0.2692474411225911
PHOX2A,0.2824790990367591
PHOX2B,1.1996547801496478
PITX1,-2.5516328028405866
PITX3,-2.662102383844526
PKNOX1,0.29851012682938183
PKNOX2,-1.2402839027241737
PLAG1,-1.6781087239426633
PLAGL1,-5.1533527957874
PLAGL2,3.2761616102321307
POU2F1,1.5997222607753867
POU2F3,1.0317829760097075
POU3F1,-0.3804781259034713
POU3F2,0.04318770256468833
POU3F3,-1.4035954170162466
POU3F4,0.6543534380407611
POU4F1,-1.6674170630851228
POU4F2,1.16711133000497
POU4F3,-1.2829494794344876
POU5F1,-0.3484659425068069
POU5F1B,0.6543534380407611
POU6F1,-2.589593051025119
POU6F2,-2.1808394365394403
PPARA,0.822855027237227
PPARD,3.153625058721256
PPARG,1.1342937035691545
PRDM1,2.3148740208388525
PRDM10,-1.8103942992031696
PRDM14,3.6645418294940444
PRDM15,2.6136363986859776
PRDM16,-1.9745036274696457
PRDM2,-0.5536601131161334
PRDM4,3.5745258362538603
PRDM5,4.257934129445926
PRDM6,-3.9771958186574183
PRDM8,-2.5967856260110773
PROP1,1.3119198835773846
PROX1,0.2743939847142769
PROX2,-4.82938899824116
PRRX1,-1.1583211288426998
PRRX2,3.626156446984678
PTF1A,1.3683033677235763
PURA,-5.588958922341625
PURB,4.765829486728604
PURG,-3.715512398488242
RARA,2.9408405130984545
RARB,1.1545525520985664
RARG,1.6277651523455483
RAX,-2.004427455814144
RAX2,-0.282579548261744
RBAK,-0.7580759984771677
RBPJ,1.8376951239042851
REL,3.806731868504708
RELA,5.480442991433574
RELB,2.39085922810538
RFX1,-0.6986697484969572
RFX2,7.840046964473549e-4
RFX3,2.024545718958832
RFX4,-0.8274878985448219
RFX7,-4.509412517538721
RFX8,-0.3610639637959653
RHOXF1,0.04190167188065331
RLF,8.52976256803917
RORA,0.40158613325719167
RORB,-1.0539346511249708
RORC,-0.08164652966545813
RREB1,-0.2904213713445692
RUNX1,1.6015367991995566
RUNX2,1.9891259030401507
RUNX3,-1.1449000788711698
RXRA,-1.1946961403859608
RXRB,-0.34984614207908005
RXRG,-2.991301497022277
SALL1,0.4727485155917726
SALL2,-8.254242509950984
SALL4,0.8795207167510055
SATB1,1.3928540278557717
SATB2,-1.4400608076362038
SCRT1,2.0791155417329827
SCRT2,-1.6538673729038211
SCX,0.13612940937895693
SETDB1,-0.776935612390545
SHOX,-0.282579548261744
SHOX2,-0.9615687197753574
SIM2,-1.086036284495579
SIX1,-0.5030607792131778
SIX2,-2.1104952976041758
SIX3,-1.5349613076752224
SIX4,0.7875154233533264
SIX5,-1.9239866625416475
SKI,0.7435378109316237
SMAD1,-0.18852852310626134
SMAD3,3.0331646446407374
SMAD4,4.722494698258207
SMAD5,0.9506159485566589
SMAD9,-0.5374225062499934
SNAI1,-3.17213710253797
SNAI2,-1.9764261070114872
SNAI3,-1.4158795317538537
SNAPC4,-1.104502171739803
SOX1,-0.3549487657037199
SOX10,1.2487160244781388
SOX11,2.416958777280716
SOX12,-4.09105117002793
SOX13,-0.6875691921799003
SOX15,-4.0905955818673805
SOX17,2.830828265924369
SOX18,2.4951578316631124
SOX2,-0.8263661505326123
SOX21,0.804551105796099
SOX3,-0.1746260497549069
SOX4,2.7285028281652255
SOX5,-1.2930666945944167
SOX6,1.232991766726833
SOX7,10.946392807089556
SOX8,-1.6223752256078399
SP1,4.854484448556917
SP100,5.0756729374340175
SP110,2.7866057998495624
SP140,4.530159699953787
SP140L,3.339548958959882
SP2,-1.2923048420586802
SP3,1.9152666045908198
SP4,0.36871555175255205
SP5,-1.9120945787408037
SP6,1.18066234422583
SP8,-0.4035007398918658
SPI1,2.687529708889216
SPIB,0.6903506691608341
SPIC,-1.6161119093129184
SPZ1,-0.22192403693672083
SREBF1,0.2551750246801495
SREBF2,2.078309025134376
SRF,3.1587900324575786
SRY,-0.406684576656528
ST18,0.23956025655466043
STAT1,5.835609463774489
STAT2,2.3141922645626805
STAT3,6.689254995333933
STAT4,0.9146401667265552
STAT5A,3.714983078025455
STAT5B,2.3077086297485034
STAT6,2.6998995732151743
TAL1,-1.5271556559955188
TBP,2.5650204570909807
TBPL1,-1.4872417054811395
TBR1,-0.3159688126256193
TBX1,-0.8441598206777426
TBX15,0.047228460366444944
