ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
HNRNPH3,-0.21846109286947257,6.831912233544652,-1.1499980230570381,0.25804046271835346,0.9972652206254287,-5.229146058756498
MAN2B2,-0.30277200054126396,4.400008594553011,-1.1493491323361686,0.25878492802645836,0.9972652206254287,-5.229520579473831
SLC35D2,-0.2823629769966547,3.8236620990971772,-0.7058093091648743,0.4895653647077629,0.9972652206254287,-5.229741522847788
MOSMO,0.2496971655925928,3.8524460268762613,0.977892177929942,0.33695124788349196,0.9972652206254287,-5.22977321427487
ARHGAP26,0.35790189176870246,5.61973476147663,1.1489922845037435,0.25844930947133166,0.9972652206254287,-5.230193569868195
MCFD2,-0.268688177626748,6.253485171018025,-1.1472231129568733,0.2591696394220076,0.9972652206254287,-5.232034175971598
RPS27,-0.20284230274301862,7.897077388261155,-1.1469007117332144,0.2593010634555888,0.9972652206254287,-5.232369313744177
ANKRD10,0.22335468564556127,6.969806704850289,1.1467464262376175,0.25936397362974284,0.9972652206254287,-5.232529663659047
HIST2H2BE,0.3719604637668814,6.034827408903011,1.1467442060873136,0.25936487898034627,0.9972652206254287,-5.2325319709307285
CORO1C,0.29779840139545666,6.257743397238804,1.146633458992683,0.25941004321369693,0.9972652206254287,-5.232647058657069
RFK,0.27082743311100366,4.297307996474369,1.108578903835561,0.27549345902388583,0.9972652206254287,-5.232649131654075
HELZ,-0.2104529183514714,7.7940939999832946,-1.146561147297101,0.25943953601506853,0.9972652206254287,-5.232722199022967
UBN2,0.2682772281763972,6.090320397446292,1.146529293098453,0.259452528728871,0.9972652206254287,-5.232755297902067
FKRP,0.2573694944110638,3.995790267984507,1.0218589395447433,0.31513820981034896,0.9972652206254287,-5.23290126043798
BCL3,0.42001190281131917,4.920836355254054,0.9753750074972584,0.3367916432956789,0.9972652206254287,-5.233068860016041
ZNF280D,-0.25360417605229024,6.368006613516112,-1.1456825347622224,0.2597980775889369,0.9972652206254287,-5.233634832412333
CES2,0.348319143515444,6.199210153480181,1.145515992432119,0.25986608003648337,0.9972652206254287,-5.233807750839322
NDRG4,-0.35366625604424407,4.444675654765093,-1.10691523975047,0.27669641183803984,0.9972652206254287,-5.233967233491961
LRRC8A,0.3388521842164973,4.5076681388234094,1.1452079064877365,0.26022448912514573,0.9972652206254287,-5.23397981293605
SRR,0.23452526996723222,4.113070198253227,1.1068085041495266,0.2762473313997104,0.9972652206254287,-5.234415491527858
RLF,0.3324400440836186,5.54614657768251,1.1448793637223933,0.2601261463835917,0.9972652206254287,-5.234468539654852
IFITM1,0.27434892871435146,5.023034273315316,1.1446749456146916,0.26020969217863693,0.9972652206254287,-5.234680643714974
TENT4A,0.3193205802043382,4.407165122552033,1.144276209220886,0.2603727117433994,0.9972652206254287,-5.235094271919914
SGCE,0.2716808621828912,4.159275484185251,0.9716289891186349,0.3400012265042317,0.9972652206254287,-5.235136747092956
COMT,-0.28098727073028673,5.244932276040329,-1.144099027091204,0.2604451746321806,0.9972652206254287,-5.235278028781104
DOCK1,-0.29203442540444957,5.369187406791383,-1.1434460217676832,0.26071236260455793,0.9972652206254287,-5.235955039067897
HAS2,0.11106220511783915,3.795212213309709,0.24117391860438375,0.8118091809361774,0.9972652206254287,-5.236025814565532
AP5S1,-0.30247794291588104,4.610509714993512,-1.1427039077749224,0.26124841127144277,0.9972652206254287,-5.236575355543743
CCT6B,-0.26155262244399546,3.886683829780109,-1.0500870276025218,0.3027993489298274,0.9972652206254287,-5.236868026378536
MYH10,-0.41810163848025894,5.053820192691894,-1.1421191937810289,0.2612558658216141,0.9972652206254287,-5.237329545839145
SEC14L1,-0.25818617143734546,7.301723254618088,-1.1417884332750345,0.2613914811626453,0.9972652206254287,-5.237671963159631
DYRK1B,-0.26923490825895957,6.389101539546834,-1.1416027431003772,0.2614676383792944,0.9972652206254287,-5.237864157475064
ANXA11,0.27160577043444967,7.261634930054687,1.1415745332169387,0.2614792095155681,0.9972652206254287,-5.237893352942356
PPWD1,-0.2651443668540905,5.6728689447533736,-1.141327320153687,0.2615806272319638,0.9972652206254287,-5.238149174592441
TIMM22,0.29604548306780387,5.201291108834427,1.1413221364657393,0.2615827541134397,0.9972652206254287,-5.238154538243286
COL18A1,0.29985331180498864,4.566636951276616,1.1411413220013154,0.2616569505956269,0.9972652206254287,-5.238341616028793
PSMD5,-0.30879142534694903,4.310234194334654,-1.1406950646175178,0.2618401354779045,0.9972652206254287,-5.238803214690673
CMC2,0.26232118436451923,5.499538543532444,1.1406679151170853,0.26185128310271527,0.9972652206254287,-5.238831292159829
ZC3H3,-0.3609423232595086,4.356796451488592,-1.1404242442028734,0.261951350063105,0.9972652206254287,-5.239083264176593
XPNPEP1,-0.25352974557956465,5.152443812141812,-1.1398910974345768,0.2621703906252112,0.9972652206254287,-5.239634400613916
DDX49,-0.3070184381931558,4.284645863542165,-1.101250944296309,0.27886208416461433,0.9972652206254287,-5.239776085221861
ZNF706,0.2687180148156427,5.866041445149724,1.1397521253174436,0.26222750828776487,0.9972652206254287,-5.239778022976381
PNP,0.38718254119705175,4.590785857163563,0.6907495393330165,0.49709301969340625,0.9972652206254287,-5.2399549075278635
CACYBP,-0.25184451388985174,6.59021202921126,-1.1391370363453153,0.26248041813952017,0.9972652206254287,-5.240413500144895
C19orf53,-0.2277542412931446,6.349732565414689,-1.1391370135861967,0.2624804275007768,0.9972652206254287,-5.240413523652558
SLC22A4,0.15713769252419318,4.057768086764876,0.32865702353818477,0.7450924919504487,0.9972652206254287,-5.240483873340928
SIN3A,-0.28386036151453453,5.590842225980405,-1.1390233054932035,0.262527200798282,0.9972652206254287,-5.240530966179402
